Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
Q154045,"Alexei Nikolaevich, Tsarevich of Russia",son of Nicholas II and Alexandra Feodorovna; heir apparent of the Russian Empire,Male,Russian Empire,Politician,1904,1918,homicide,14
Q154203,Albert Lortzing,German opera composer,Male,Germany,Artist,1801,1851,natural causes,50
Q154260,Oskar Kokoschka,"Austrian dramatic, painter and writer (1886-1980)",Male,Austria; Austria; United Kingdom; Austria-Hungary; Czechoslovakia; United Kingdom of Great Britain and Ireland,Artist,1886,1980,natural causes,94
Q154325,Heinrich Lenz,Russian physicist,Male,Russian Empire,Researcher,1804,1865,natural causes,61
Q154335,Yves Klein,French artist (1928-1962),Male,France,Artist,1928,1962,natural causes,34
Q154340,Francis Bacon,Irish-born British painter (1909-1992),Male,Ireland; United Kingdom of Great Britain and Ireland,Artist,1909,1992,natural causes,83
Q154346,Jozef Tiso,"Slovak priest and politician, president of the First Slovak Republic (1887-1947)",Male,Austria-Hungary; Czechoslovakia; Slovak State (1939-1945),Politician,1887,1947,capital punishment,60
Q154373,Aribert Heim,Austrian SS member and physician in Mauthausen concentration camp (1914-1992),Male,Austria; Germany,Athlete,1914,1992,natural causes,78
Q154423,Maud of Wales,Queen consort of Norway and British princess,Female,Norway; United Kingdom,Politician,1869,1938,natural causes,69
Q154444,Grand Duke Michael Alexandrovich of Russia,Russian Grand Duke; de-jure last Emperor of All the Russias (1878-1918),Male,Russian Empire,Politician,1878,1918,homicide,40
Q154448,Victor Vasarely,French-Hungarian painter and printmaker,Male,France; Kingdom of Hungary,Artist,1906,1997,natural causes,91
Q154602,Otto Nicolai,German composer and conductor,Male,Germany,Artist,1810,1849,natural causes,39
Q154717,Robert Anderson,"American playwright, screenwriter, and theater producer",Male,United States of America,Artist,1917,2009,natural causes,92
Q154756,Italo Calvino,Italian journalist and writer,Male,Italy; Kingdom of Italy,Artist,1923,1985,natural causes,62
Q154770,Arnold Schoenberg,Austrian-American composer (1874-1951),Male,United States of America; Austria,Artist,1874,1951,natural causes,77
Q154809,Dámaso Pérez Prado,"Cuban, Mexican musician",Male,Cuba,Artist,1916,1989,natural causes,73
Q154824,Norman Borlaug,American biologist,Male,United States of America; Brazil,Teacher,1914,2009,natural causes,95
Q154864,Salesius Lemmens,Dutch missionary,Male,Kingdom of the Netherlands,Religious figure,1904,1942,accident,38
Q154895,Herbert von Karajan,Austrian conductor,Male,Austria,Conductor; music director; theater director,1908,1989,natural causes,81
Q154912,Olav V of Norway,King of Norway,Male,Norway; Denmark,Monarch,1903,1991,natural causes,88
Q154946,Juliana of the Netherlands,Queen of the Netherlands (1948 - 1980),Female,Kingdom of the Netherlands,Monarch,1909,2004,natural causes,95
Q154971,Charlotte of Mexico,Empress consort of Mexico(1863-1867),Female,Belgium,Aristocrat,1840,1927,natural causes,87
Q155110,I. L. Patterson,American politician (1859-1929),Male,United States of America,Politician,1859,1929,natural causes,70
Q155299,Gian-Carlo Coppola,"Film producer, actor",Male,United States of America,Artist,1963,1986,accident,23
Q155329,Sergei Witte,Russian statesman and first Prime Minister of the Russian Empire,Male,Russian Empire,Politician,1849,1915,natural causes,66
Q155385,Étienne Gnassingbé Eyadéma,President of Togo (1935-2005),Male,France; Togo,Politician,1935,2005,natural causes,70
