,Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
50710,Q322561,John Barnes Chance,American composer,Male,United States,Artist,1932,1972,accident,40
50716,Q322581,Al Aronowitz,American rock journalist,Male,United States,Artist,1928,2005,natural causes,77
50718,Q322586,Danny Joe Brown,singer,Male,United States,Artist,1951,2005,natural causes,54
50722,Q322597,Carl Wayne,English singer-actor (1943-2004),Male,United Kingdom,Artist,1943,2004,natural causes,61
50723,Q322600,Percy Mayfield,American singer and songwriter,Male,United States,Artist,1920,1984,natural causes,64
50724,Q322603,Jeff Weise,American spree killer,Male,United States,Spree killer,1988,2005,suicide,17
50739,Q322682,René Le Bègue,French racing driver,Male,France,Racing automobile driver,1914,1946,accident,32
50749,Q322722,Robert Scheerer,American actor,Male,United States,Artist,1928,2018,natural causes,90
50750,Q322724,Richard Egan,"American businessman, political fundraiser and US Ambassador to Ireland",Male,United States,Politician,1936,2009,suicide,73
50786,Q322871,Arthur Quiller-Couch,British writer and literary critic,Male,United Kingdom,Artist,1863,1944,accident,81
50798,Q322908,Bill Klatt,American ice hockey player,Male,United States,Athlete,1947,2011,natural causes,64
50803,Q322925,James O. McKinsey,founder of McKinsey & Company,Male,United States,Businessperson,1889,1937,natural causes,48
50809,Q322953,Aldo Rossi,Italian architect,Male,Italy,Artist,1931,1997,accident,66
50811,Q322958,Dmitry von Fölkersam,Russian admiral,Male,Russia,Military personnel,1846,1905,natural causes,59
50814,Q322970,Walter Eli Clark,American journalist and 1st Governor of Alaska Territory (1869-1950),Male,United States,Politician,1869,1950,natural causes,81
50817,Q322985,Ilie Verdeț,Romanian politician (1925-2001),Male,Romania,Politician,1925,2001,natural causes,76
50830,Q323048,Ivor Gurney,British composer and poet,Male,United Kingdom,Artist,1890,1937,natural causes,47
50831,Q323049,J. Carson Mark,Canadian-American mathematician,Male,Canadas,Researcher,1913,1997,accident,84
50836,Q323060,John Whiting,"English actor, dramatist and critic (1917-1963)",Male,United Kingdom,Artist,1917,1963,natural causes,46
50864,Q323166,Sterling Hayden,American actor (1916-1986),Male,United States,Artist,1916,1986,natural causes,70
50869,Q323207,John Maynard Smith,British theoretical evolutionary biologist and geneticist (1920-2004),Male,United Kingdom,Researcher,1920,2004,natural causes,84
50870,Q323215,Hans Delmotte,Belgian SS officer,Male,Belgium,Physician,1917,1945,suicide,28
50875,Q323228,William Kingdon Clifford,English mathematician and philosopher,Male,United Kingdom,Researcher,1845,1879,natural causes,34
50886,Q323271,Alexander Golitzen,American production designer,Male,United States,Scenographer; production designer; film producer,1908,2005,natural causes,97
50899,Q323355,Andor Földes,Hungarian-American classical pianist,Male,Hungarys,Artist,1913,1992,accident,79
50913,Q323411,John van Hengel,the father of food banks,Male,United States,Social reformer,1923,2005,natural causes,82
50926,Q323445,Harold Hecht,"American producer, choreographer and talent agent",Male,United States,Artist,1907,1985,natural causes,78
50929,Q323449,Abraham Afewerki,Eritrean singer,Male,Eritrea,Artist,1966,2006,accident,40
50932,Q323452,Bernard Lee,English actor (1908-1981),Male,United Kingdom,Artist,1908,1981,natural causes,73
50935,Q323456,Del Shannon,American musician,Male,United States,Artist,1934,1990,suicide,56
50943,Q323485,Jim Cantalupo,American businessman,Male,United States,Businessperson,1943,2004,natural causes,61
50945,Q323488,Roy Jenkins,"British politician, historian and writer (1920–2003)",Male,United Kingdom,Researcher,1920,2003,natural causes,83
50952,Q323503,Hamilton Camp,British-American singer-songwriter and actor (1934-2005),Male,United States,Artist,1934,2005,natural causes,71
50958,Q323515,Jean Leguay,"second in command in the French National Police during the  Occupation of France, indicted for Crimes Against Humanity (1909-1989)",Male,France,Official,1909,1989,natural causes,80
50962,Q323522,Yang Shuo,Chinese writer,Male,China; China,Artist,1913,1968,suicide,55
50978,Q323563,Ole Thestrup,Danish actor (1948-2018),Male,Denmark,Artist,1948,2018,natural causes,70
50980,Q323568,William Bergsma,American composer,Male,United States,Artist,1921,1994,natural causes,73
51004,Q323657,Francesco Fortugno,Italian politician (1951-2005),Male,Italy,Politician,1951,2005,homicide,54
51005,Q323659,Jean-Claude Lauzon,Canadian film director and screenwriter,Male,Canada,Artist,1953,1997,accident,44
51008,Q323675,Kōji Kitao,Japanese professional wrestler and rikishi,Male,Japan,Artist,1963,2019,natural causes,56
51013,Q323686,André Pousse,French actor (1919-2005),Male,France,Athlete,1919,2005,accident,86
51019,Q323705,James Fisk,American businessman,Male,United States,Stockbroker,1835,1872,homicide,37
51030,Q323740,John Sieg,Journalist and German Resistance fighter,Male, Germany,Journalist,1903,1942,suicide,39
51044,Q323781,Sidney Luft,American film producer and businessman,Male,United States,Impresario; film producer,1915,2005,natural causes,90
51081,Q323944,Christoph Westerthaler,Austrian footballer and manager (1965-2018),Male,Austria,Athlete,1965,2018,natural causes,53
51086,Q323977,Francesco De Masi,Italian conductor and film score composer,Male,Italy,Artist,1930,2005,natural causes,75
51096,Q324014,Julio Meinvielle,Argentine writer and priest,Male,Argentina,Artist,1905,1973,accident,68
51097,Q324015,Rosco Gordon,American Blues singer and songwriter,Male,United States,Artist,1928,2002,natural causes,74
51128,Q324103,Emil Králíček,Czech architect,Male,Czech Republic,Architect,1877,1930,suicide,53
51167,Q324246,Briton Hadden,American businessman,Male,United States,Businessperson,1898,1929,natural causes,31
51201,Q324353,Cisco Houston,American musician (1918-1961),Male,United States,Artist,1918,1961,natural causes,43
51209,Q324376,Leslie Harvey,British musician,Male,United Kingdom,Guitarist,1944,1972,unfortunate accident,28
51211,Q324382,John Newland,"1917-2000; American director, actor, television producer, and screenwriter",Male,United States,Artist,1917,2000,natural causes,83
51213,Q324390,Fernando Bujones,American dancer,Male,United States,Ballet dancer; choreographer; dancer,1955,2005,natural causes,50
51226,Q324452,Jack Stewart,Canadian ice hockey player,Male,Canada,Athlete,1917,1983,natural causes,66
51233,Q324475,Adrian Rogers,"""Love Worth Finding""",Male,United States,Pastor,1931,2005,natural causes,74
51240,Q324491,Ahmed Kuftaro,Grand Mufti of Syria (1915-2004),Male,Syria,Politician,1915,2004,natural causes,89
51244,Q324508,Anton von Hohberg und Buchwald,SS officer (1885-1934),Male,Germany,Politician,1885,1934,homicide,49
51246,Q324522,Billy Higgins,American jazz drummer,Male,United States,Artist,1936,2001,natural causes,65
51252,Q324556,Rachid Baba Ahmed,Algerian musical producer and singer ; raï musician,Male,Algeria,Artist,1946,1995,homicide,49
51291,Q324713,William Dodd,American historian and ambassador to Germany,Male,United States,Researcher,1869,1940,natural causes,71
51295,Q324726,Mac Miller,"American rapper, singer, songwriter, and record producer",Male,United States,Artist,1992,2018,accident,26
51297,Q324737,Allen Klein,"American businessman, music publisher",Male,United States,Entrepreneur,1931,2009,natural causes,78
51298,Q324742,Prescott Bush,"American politician, US Senator from Connecticut",Male,United States,Politician,1895,1972,natural causes,77
51306,Q324805,"Nicholas Ridley, Baron Ridley of Liddesdale",British politician (1929-1993),Male,United Kingdom,Politician,1929,1993,natural causes,64
51319,Q324864,Allan Sekula,American photographer,Male,United States,Artist,1951,2013,natural causes,62
51320,Q324868,George Buck Flower,American actor and director,Male,United States,Artist,1937,2004,natural causes,67
51325,Q324895,Siegbert Horn,East German canoe racer,Male,Germany,Canoeist; kayaker,1950,2016,natural causes,66
