Id,Name,Short description,Gender,Country,Birth year,Death year,Manner of death,Age of death
Q44374,Eddie Guerrero,American professional wrestler (1967-2005),Male,United States,[1960-1990],[1990-2019],natural causes,[16-44]
Q44398,Falco,Austrian musician,Male,Austria,[1930-1960],[1990-2019],accident,[16-44]
Q44426,Rainer Werner Fassbinder,"German film director, screenwriter, and actor",Male,Germany,[1930-1960],[1960-1990],natural causes,[16-44]
Q44496,Andrei Chikatilo,serial killer,Male,Russia,[1930-1960],[1990-2019],capital punishment,[44-72]
Q44515,Claude Pinoteau,French film director,Male,France,[1900-1930],[1990-2019],natural causes,[72-99]
Q44534,Tiziano Terzani,Italian journalist and writer,Male,Italy,[1930-1960],[1990-2019],natural causes,[44-72]
Q44556,Jack Unterweger,Austrian serial killer,Male,Austria,[1930-1960],[1990-2019],suicide,[44-72]
Q44575,Eduardo Galeano,Uruguayan left-wing writer,Male,Uruguay,[1930-1960],[1990-2019],natural causes,[72-99]
Q44634,Nico,"German musician, model and actress, one of Warhol's superstars",Female,Germany,[1930-1960],[1960-1990],accident,[44-72]
Q44706,Michael Hastings,American journalist,Male,United States,[1960-1990],[1990-2019],accident,[16-44]
Q44767,Joe Zawinul,Austrian composer and pianist,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q44780,Howlin' Wolf,"American blues singer, guitarist and harmonica player",Male,United States,[1900-1930],[1960-1990],natural causes,[44-72]
Q44809,Albert King,American blues guitarist and singer,Male,United States,[1900-1930],[1990-2019],natural causes,[44-72]
Q44833,J.J. Cale,American singer songwriter and musician,Male,United States,[1930-1960],[1990-2019],natural causes,[72-99]
Q44836,Eric Berne,Canadian psychiatrist,Male,Canada,[1900-1930],[1960-1990],natural causes,[44-72]
Q44909,Candye Kane,American pornographic film actress and singer (1961-2016),Female,United States,[1960-1990],[1990-2019],natural causes,[44-72]
Q44940,Yuri Rytkheu,Russian Chukchi writer,Male,Russia,[1930-1960],[1990-2019],natural causes,[72-99]
Q45070,Christoph Schlingensief,"theatre and film director, playwright and performance artist",Male,Germany,[1960-1990],[1990-2019],natural causes,[44-72]
Q45129,Julius Döpfner,Catholic cardinal,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q45167,Phil Masinga,South African footballer (1969-2019),Male,South Africa,[1960-1990],[1990-2019],natural causes,[44-72]
Q45193,António Ribeiro,Catholic cardinal,Male,Portugal,[1900-1930],[1990-2019],natural causes,[44-72]
Q45250,H. C. Artmann,Austrian poet,Male,Austria,[1900-1930],[1990-2019],natural causes,[72-99]
Q45253,Shinji Sōmai,film director,Male,Japan,[1930-1960],[1990-2019],natural causes,[44-72]
Q45317,Joseph Wendel,German prelate; Roman Catholic Archbishop of Munich and Freising,Male,Germany,[1900-1930],[1960-1990],natural causes,[44-72]
Q45336,Konrad Bayer,Austrian writer and poet,Male,Austria,[1930-1960],[1960-1990],suicide,[16-44]
Q45338,Günther Kaufmann,German actor (1947-2012),Male,Germany,[1930-1960],[1990-2019],natural causes,[44-72]
Q45357,Hans Clarin,German actor,Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q45365,Gerhard Bronner,Austrian musician,Male,Austria,[1900-1930],[1990-2019],natural causes,[72-99]
Q45375,Alex Harvey,Scottish blues/rock musician,Male,United Kingdom,[1930-1960],[1960-1990],natural causes,[44-72]
Q45379,Danuta Siedzikówna,Polish resistance fighter,Female,Poland,[1900-1930],[1930-1960],capital punishment,[16-44]
Q45415,Rudolph Moshammer,German fashion designer,Male,Germany,[1930-1960],[1990-2019],homicide,[44-72]
Q45447,Georg Danzer,Austrian singer songwriter,Male,Austria,[1930-1960],[1990-2019],natural causes,[44-72]
Q45521,Dieter Hildebrandt,"German Kabarett artist, actor, and writer",Male,Germany,[1900-1930],[1990-2019],natural causes,[72-99]
Q45542,Helmut Fischer,German actor (1926-1997),Male,Germany,[1900-1930],[1990-2019],natural causes,[44-72]
Q45553,Robert J. Wilke,American actor (1914-1989),Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q45575,Dennis M. Ritchie,American computer scientist,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q45785,Kim Dae-jung,South Korean politician (1924-2009),Male,South Korea,[1900-1930],[1990-2019],natural causes,[72-99]
Q45796,Silvana Gallardo,American actress,Female,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q46000,Thomas Watson,American businessman and diplomat (1914-1993),Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q46089,Sandy Berger,US National Security Advisor,Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q46172,Denis Thatcher,British businessperson (1915–2003),Male,United Kingdom,[1900-1930],[1990-2019],natural causes,[72-99]
Q46248,Terry Pratchett,English fantasy author,Male,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q46391,Tarateño Rojas,Bolivian musician,Male,Bolivia,[1900-1930],[1990-2019],natural causes,[72-99]
Q46636,Jack Kevorkian,"American pathologist, euthanasia activist (1928-2011)",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q46739,Octavio Paz,Mexican writer laureated with the 1990 Nobel Prize for Literature,Male,Mexico,[1900-1930],[1990-2019],natural causes,[72-99]
Q46755,Benny Goodman,"American jazz musician, band leader",Male,United States,[1900-1930],[1960-1990],natural causes,[72-99]
Q47120,David Oistrakh,violinist,Male,Ukraine,[1900-1930],[1960-1990],natural causes,[44-72]
Q47139,Slobodan Milošević,Yugoslavian and Serbian politician (1941-2006),Male,Serbia,[1930-1960],[1990-2019],natural causes,[44-72]
Q47159,Nate Dogg,"American singer, rapper and songwriter",Male,United States,[1960-1990],[1990-2019],natural causes,[16-44]
Q47426,Milton Friedman Correa,"American economist, statistician, and writer",Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
Q47651,Marco Pannella,Italian politician and journalist,Male,Italy,[1930-1960],[1990-2019],natural causes,[72-99]
Q47677,Chen Boda,Chinese politician (1904-1989),Male,China,[1900-1930],[1960-1990],natural causes,[72-99]
Q47780,Zaha Hadid,Iraqi-British architect,Female,United Kingdom,[1930-1960],[1990-2019],natural causes,[44-72]
Q47878,Sid Vicious,English bassist and vocalist,Male,United Kingdom,[1930-1960],[1960-1990],suicide; unfortunate accident,[16-44]
Q48042,Sergey Akhromeyev,marshal (1923-1991),Male,Russia,[1900-1930],[1990-2019],suicide,[44-72]
Q48055,Sergey Biryuzov,military commander (1904-1964),Male,Russia,[1900-1930],[1960-1990],accident,[44-72]
Q48067,Dmitriy Ustinov,military commander and politician (1908-1984),Male,Russia,[1900-1930],[1960-1990],natural causes,[72-99]
Q48231,Idi Amin,third president of Uganda (1925-2003),Male,Uganda,[1900-1930],[1990-2019],natural causes,[72-99]
Q48502,Marika Rökk,"Hungarian-born actress, singer, dancer",Female,Austria,[1900-1930],[1990-2019],natural causes,[72-99]
Q48690,Osvaldo Dorticós,President of Cuba (1919-1983),Male,Cuba,[1900-1930],[1960-1990],suicide,[44-72]
Q48695,Harvey Martin,American football player and professional wrestler (1950-2001),Male,United States,[1930-1960],[1990-2019],natural causes,[44-72]
Q48745,Lee Harvey Oswald,American former marine who assassinated John F. Kennedy,Male,United States,[1930-1960],[1960-1990],homicide,[16-44]
Q48765,Stanley Donen,American film director and choreographer,Male,United States,[1900-1930],[1990-2019],natural causes,[72-99]
